Country Name,Country Code,Series Name,Series Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Estonia,EST,"Population, total",SP.POP.TOTL,1399535,1386156,1390244,1396985,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1315790
Eswatini,SWZ,"Labor force, total",SL.TLF.TOTL.IN,289954,297953,305639,312711,317998,322371,326364,330808,336225,343425,352025,361742,372198,383033,394269,405946,417896,430015,442140,454336
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1003995,1026009,1045629,1061468,1072927,1080930,1087392,1095053,1105873,1120514,1138434,1158897,1180675,1202843,1225258,1248158,1271456,1295097,1319011,1343098
Ethiopia,ETH,"Labor force, total",SL.TLF.TOTL.IN,25932572,26883145,27867576,28995057,30063195,31206100,32406073,33643955,34917430,35973485,37077115,38242595,39483877,40797577,42212145,43678838,45196499,46668355,48171784,49661396
Ethiopia,ETH,"Population, total",SP.POP.TOTL,60976450,62794151,64640054,66537331,68492257,70497192,72545144,74624405,76727083,78850689,81000409,83184892,85416253,87702670,90046756,92444183,94887724,97366774,99873033,102403196
Euro area,EMU,"Labor force, total",SL.TLF.TOTL.IN,144171992,145381514,146915917,148072448,148466095,150520314,152675721,154130231,156180115,157712367,159299771,160814439,161256078,161440736,160971075,161972270,162351580,162637062,162974905,163904478
Euro area,EMU,"Population, total",SP.POP.TOTL,318761764,319433983,320258902,321310787,322547880,324125338,325885964,327682507,329380413,330922791,332645166,334274730,335360887,336151474,335429120,336180504,337325526,338466271,339533474,340617355
Europe & Central Asia,ECS,"Labor force, total",SL.TLF.TOTL.IN,388947010,389859464,396157256,397686380,397276632,399949606,402243420,405035593,409344298,412276399,416119683,420245392,422621540,424917162,426741184,429202886,431553879,433287761,435703589,438422120
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,859112733,860236341,861380108,862304086,863615632,865196877,867457664,870030756,872661616,875343235,878465990,881965815,885591814,889016507,891098854,894679968,898881448,903123160,907426233,911686319
Europe & Central Asia (excluding high income),ECA,"Labor force, total",SL.TLF.TOTL.IN,173966597,173459169,177791326,177857206,176762930,177158787,176995162,177997713,179248413,180252684,182100246,183793867,185170292,186900458,188869082,189663681,191092070,191784264,193380215,194518812
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,392200932,392498014,392517924,392657969,392446165,392134307,392280391,392625999,393027492,393571334,394257705,395304586,397043992,399053204,401241932,403439691,405871230,408271623,410770813,413234935
European Union,EUU,"Labor force, total",SL.TLF.TOTL.IN,224272088,225361831,227231818,228526899,228855148,229848485,231914512,233659097,236323351,238403539,240168822,242270242,243012725,243665939,243150426,244771488,245585029,246529762,247117125,248380609
European Union,EUU,"Population, total",SP.POP.TOTL,485892094,486565871,487539366,488178832,489155665,490390251,492200117,494162543,496115006,497973712,499916647,501808477,503317964,504421126,504015371,505117542,506621110,508193872,509717579,511218960
Faroe Islands,FRO,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,46251,46580,46937,47258,47526,47769,47974,48143,48285,48383,48448,48485,48517,48550,48608,48666,48747,48842,48965,49117
Fiji,FJI,"Labor force, total",SL.TLF.TOTL.IN,298442,300399,301758,302503,307332,311049,314170,317297,320655,320615,321402,329699,338152,346453,352840,359045,364959,370549,371824,374560
Fiji,FJI,"Population, total",SP.POP.TOTL,792860,800315,806494,811223,814218,815691,816628,818354,821817,827411,834812,843340,851967,859950,867086,873596,879715,885806,892149,898760
Finland,FIN,"Labor force, total",SL.TLF.TOTL.IN,2503903,2522404,2566264,2586076,2608203,2623439,2620889,2611741,2627895,2661097,2690371,2718446,2689293,2679193,2692085,2699346,2685266,2688682,2695058,2687198
Finland,FIN,"Population, total",SP.POP.TOTL,5139835,5153498,5165474,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303
France,FRA,"Labor force, total",SL.TLF.TOTL.IN,26770280,26947641,27263121,27479615,27558926,27903772,28468122,28660874,28944175,29089933,29328351,29530640,29765570,29861054,29856868,30091903,30231689,30213192,30251104,30319992
France,FRA,"Population, total",SP.POP.TOTL,59964851,60186288,60496718,60912500,61357430,61805267,62244886,62704895,63179351,63621381,64016227,64374989,64707044,65027507,65342775,65659789,65998660,66316092,66593366,66859768
French Polynesia,PYF,"Labor force, total",SL.TLF.TOTL.IN,89310,91296,93265,95275,97080,99023,100897,102686,104383,106096,107692,109574,111182,112537,113905,114999,115711,116344,116989,117894
French Polynesia,PYF,"Population, total",SP.POP.TOTL,223731,228376,232952,237258,241273,245006,248499,251775,254886,257832,260594,263179,265581,267820,269843,271703,273528,275484,277690,280208
Gabon,GAB,"Labor force, total",SL.TLF.TOTL.IN,313633,322611,333157,343696,354241,365858,378287,392058,406820,424517,442778,463656,485826,508697,531198,555520,580711,606116,630944,650081
Gabon,GAB,"Population, total",SP.POP.TOTL,1142324,1171224,1200773,1231122,1262259,1294409,1328146,1364205,1403126,1444844,1489193,1536411,1586754,1640210,1697101,1756817,1817271,1875713,1930175,1979786
"Gambia, The",GMB,"Labor force, total",SL.TLF.TOTL.IN,347142,358075,370014,382899,395064,408411,422749,437850,453631,468847,484943,501944,519908,538838,557627,577412,596317,616249,636668,657204
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,1128169,1160944,1195420,1231844,1270495,1311349,1354194,1398573,1444204,1491021,1539116,1588572,1639560,1692149,1746363,1802125,1859324,1917852,1977590,2038501
Georgia,GEO,"Labor force, total",SL.TLF.TOTL.IN,2286451,2265499,2251087,2171584,2252587,2181513,2214407,2158312,2138711,2122512,2106816,2091498,2074268,2087206,2093599,2103213,2055774,2038910,2058239,2034776
Georgia,GEO,"Population, total",SP.POP.TOTL,4531600,4487300,4452500,4418300,4386400,4357000,4301000,4245000,4190000,4136000,4082000,4030000,3978000,3926000,3875000,3825000,3776000,3727000,3717100,3719300
Germany,DEU,"Labor force, total",SL.TLF.TOTL.IN,40043322,40074824,40291717,40252663,40336149,40453688,40658170,40560978,41261012,41609632,41888572,41895668,41956660,42016700,41699644,41807485,42203758,42457453,42780921,43294640
Germany,DEU,"Population, total",SP.POP.TOTL,82034771,82047195,82100243,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669
Ghana,GHA,"Labor force, total",SL.TLF.TOTL.IN,7601332,7802035,8011453,8233054,8482966,8752398,9038013,9334366,9638794,9949174,10266995,10593703,10931018,11278251,11612784,11956205,12306610,12626315,12951160,13273030
Ghana,GHA,"Population, total",SP.POP.TOTL,17608812,18036494,18477612,18938762,19421605,19924522,20446782,20986536,21542009,22113425,22700212,23298640,23903831,24512104,25121796,25733049,26346251,26962563,27582821,28206728
Gibraltar,GIB,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gibraltar,GIB,"Population, total",SP.POP.TOTL,30594,30801,30991,31180,31374,31544,31720,31896,32085,32296,32510,32732,32956,33189,33405,33623,33831,34038,34228,34408
Greece,GRC,"Labor force, total",SL.TLF.TOTL.IN,4638407,4768547,4841822,4875327,4817129,4870160,4918725,5008033,5005408,5048711,5053999,5066621,5123669,5148117,5083019,5040033,4986002,4926565,4908892,4906562
Greece,GRC,"Population, total",SP.POP.TOTL,10661259,10720509,10761698,10805808,10862132,10902022,10928070,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971
Greenland,GRL,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greenland,GRL,"Population, total",SP.POP.TOTL,56000,56100,56100,56200,56350,56609,56765,56911,56935,56774,56555,56328,56323,56905,56890,56810,56483,56295,56114,56186
Grenada,GRD,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,"Population, total",SP.POP.TOTL,101122,101309,101442,101619,101849,102100,102375,102656,102949,103259,103586,103930,104296,104677,105075,105481,105909,106360,106823,107317
Guam,GUM,"Labor force, total",SL.TLF.TOTL.IN,73201,73915,74710,75309,75630,75788,75934,76014,76106,76216,76325,76561,76982,77237,77474,77738,78059,78446,78919,79564
Guam,GUM,"Population, total",SP.POP.TOTL,150303,152277,153953,155329,156401,157175,157714,158099,158402,158648,158855,159035,159231,159444,159678,159973,160375,160967,161797,162896
Guatemala,GTM,"Labor force, total",SL.TLF.TOTL.IN,3749557,3860937,3973923,4087333,4214943,4344954,4476913,4619227,4906124,5198807,5289678,5383364,5475328,5563096,5656806,6282035,5977798,6218528,6370690,6613095
Guatemala,GTM,"Population, total",SP.POP.TOTL,10887634,11133501,11387203,11650743,11924946,12208848,12500478,12796925,13096028,13397008,13700286,14006366,14316208,14630417,14948919,15271056,15596214,15923559,16252429,16582469
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,3039349,3096922,3151037,3208996,3264382,3322371,3386317,3453982,3525761,3599250,3680046,3764600,3856228,3949509,4041018,4136561,4238211,4347427,4463720,4581649
Guinea,GIN,"Population, total",SP.POP.TOTL,8337988,8503297,8653769,8808546,8971139,9137345,9309848,9490229,9679745,9881428,10096727,10323142,10556524,10794170,11035170,11281469,11536615,11805509,12091533,12395924
Guinea-Bissau,GNB,"Labor force, total",SL.TLF.TOTL.IN,466224,474811,483405,492678,503828,515987,529030,542824,557268,571748,587087,603314,620441,638479,656475,675898,696139,716881,737918,758555
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1179727,1199915,1220794,1243229,1267512,1293523,1321202,1350345,1380838,1412669,1445958,1480841,1517448,1555880,1596154,1638139,1681495,1725744,1770526,1815698
Guyana,GUY,"Labor force, total",SL.TLF.TOTL.IN,283881,281563,278498,274889,272191,269017,267872,267546,267531,270762,274155,277153,280040,282888,287815,293146,298812,304468,309869,314468
Guyana,GUY,"Population, total",SP.POP.TOTL,760510,757952,755278,753301,752263,751884,751857,751652,750946,749601,747869,746314,745693,746556,749100,753091,758081,763393,768514,773303
Haiti,HTI,"Labor force, total",SL.TLF.TOTL.IN,3057662,3114945,3174073,3234895,3320458,3410844,3505274,3602766,3702725,3805021,3908842,4012116,4120017,4223862,4335698,4449655,4566998,4682458,4794239,4905887
Haiti,HTI,"Population, total",SP.POP.TOTL,8111951,8258483,8404398,8549200,8692567,8834733,8976552,9119178,9263404,9409457,9556889,9705029,9852870,9999617,10145054,10289210,10431776,10572466,10711061,10847334
Heavily indebted poor countries (HIPC),HPC,"Labor force, total",SL.TLF.TOTL.IN,170578357,175550150,180705651,186157677,191648442,197481001,203618369,209986164,216626540,223073006,229675547,236636624,243901202,251492955,259113866,266901136,275596123,284494515,293255654,302373389
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,437269757,449393754,461899663,474935556,488553040,502710676,517352559,532385197,547744433,563415107,579434057,595849807,612731524,630127436,648053253,666488623,685401960,704745420,724482652,744602976
High income,HIC,"Labor force, total",SL.TLF.TOTL.IN,526812292,531424397,536892830,542186948,545773047,550571210,555612748,560883918,568104568,574814524,581461599,588534706,592003708,595013647,597539510,603050887,607444472,612042742,616585684,622487782
High income,HIC,"Population, total",SP.POP.TOTL,1093603568,1100763765,1108002668,1115010208,1122635089,1130299527,1137953182,1145971873,1154156034,1162908282,1172156434,1181962982,1190790909,1198787232,1204631343,1212058100,1219556921,1227211897,1234714041,1242137612
Honduras,HND,"Labor force, total",SL.TLF.TOTL.IN,2266148,2353028,2438976,2469003,2497202,2533211,2568138,2602700,2637117,2816592,2949034,3086237,3227286,3341173,3364545,3382020,3604498,3833217,4074270,4203355
Honduras,HND,"Population, total",SP.POP.TOTL,6028882,6192026,6357221,6524283,6693061,6863157,7033821,7204153,7373430,7541406,7707972,7872658,8035021,8194778,8351600,8505646,8657785,8809216,8960829,9112867
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,3263541,3305791,3350430,3392866,3440151,3496693,3489685,3532460,3553267,3596080,3651714,3664393,3682695,3656647,3722477,3815201,3880572,3905376,3939418,3949386
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,6489300,6543700,6606500,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7150100,7178900,7229500,7291300,7336600
Hungary,HUN,"Labor force, total",SL.TLF.TOTL.IN,4011271,4066044,4139284,4160580,4147331,4150157,4221391,4202060,4273343,4304574,4287279,4258902,4258580,4299649,4315998,4368797,4401133,4525623,4616126,4686095
Hungary,HUN,"Population, total",SP.POP.TOTL,10290486,10266570,10237530,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9814023
Iceland,ISL,"Labor force, total",SL.TLF.TOTL.IN,153677,158874,164020,169237,171637,171169,172123,173090,174965,181724,187323,189957,187681,188675,187904,189265,193289,198782,203034,208175
Iceland,ISL,"Population, total",SP.POP.TOTL,271128,274047,277381,281205,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716,323764,327386,330815,335439
India,IND,"Labor force, total",SL.TLF.TOTL.IN,382547455,390041620,397713183,405521019,417003387,428862880,441049645,453489620,466155121,467165824,468125060,469002609,469829385,470610752,473683611,476800625,485906723,494963721,503834632,512765199
India,IND,"Population, total",SP.POP.TOTL,997405318,1015974042,1034539214,1053050912,1071477855,1089807112,1108027848,1126135777,1144118674,1161977719,1179681239,1197146906,1214270132,1230980691,1247236029,1263065852,1278562207,1293859294,1309053980,1324171354
Indonesia,IDN,"Labor force, total",SL.TLF.TOTL.IN,90265238,93615736,96880468,99018448,100806703,102495611,104087207,105609290,107099831,109060869,110974767,112784214,114924975,116988944,118672947,120202270,121651092,123063758,122582281,125383553
Indonesia,IDN,"Population, total",SP.POP.TOTL,202826465,205715544,208612556,211540429,214506502,217508059,220545214,223614649,226712730,229838202,232989141,236159276,239340478,242524123,245707511,248883232,252032263,255131116,258162113,261115456
"Iran, Islamic Rep.",IRN,"Labor force, total",SL.TLF.TOTL.IN,16393917,17191044,18052039,18973996,20004112,21099667,22261184,23468763,24692931,24717904,24706267,23958309,24639491,24632928,24725749,24818655,24901251,24960570,25936916,27165257
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,62710557,63900630,65062660,66131854,67096414,67983330,68812713,69617100,70421811,71227880,72031103,72845542,73687565,74567511,75491582,76453574,77435384,78411092,79360487,80277428
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,5139861,5298707,5459752,5623195,5773410,5928840,6086450,6241978,6673745,7101683,7524199,7953549,8179143,8402958,8664860,8894655,9217796,9619604,9983673,10234985
Iraq,IRQ,"Population, total",SP.POP.TOTL,21509291,22190250,22878156,23565413,24251649,24939299,25627626,26316609,27008426,27697912,28390433,29111417,29894652,30762701,31727053,32776571,33883145,35006080,36115649,37202572
Ireland,IRL,"Labor force, total",SL.TLF.TOTL.IN,1566065,1643824,1716529,1775859,1818257,1869018,1914483,1970240,2076422,2158278,2241741,2270210,2239328,2211362,2191923,2183707,2199444,2200837,2216634,2248289
Ireland,IRL,"Population, total",SP.POP.TOTL,3674171,3712696,3754786,3805174,3866243,3931947,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4580084,4599533,4623816,4657740,4701957,4755335
Isle of Man,IMN,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Isle of Man,IMN,"Population, total",SP.POP.TOTL,70869,71390,71952,72554,73192,73870,74587,75341,76118,76914,77727,78534,79325,80072,80759,81406,82013,82590,83167,83737
Israel,ISR,"Labor force, total",SL.TLF.TOTL.IN,2531084,2581600,2668984,2768455,2834953,2860585,2931315,3010815,3085340,3170558,3261299,3326601,3411097,3494743,3542908,3641401,3713561,3805482,3877021,3957145
Israel,ISR,"Population, total",SP.POP.TOTL,5836000,5971000,6125000,6289000,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215700,8380100,8546000
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,23011807,23160484,23302720,23334798,23455992,23716385,24026815,24562077,24402950,24440317,24417189,24732425,24516549,24451369,24438804,24962311,25064690,25416836,25341014,25584166
Italy,ITA,"Population, total",SP.POP.TOTL,56890372,56906744,56916317,56942108,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,60789140,60730582,60627498
Jamaica,JAM,"Labor force, total",SL.TLF.TOTL.IN,1181215,1181833,1192878,1202625,1213648,1224385,1234457,1249064,1265619,1285803,1305100,1324321,1344506,1366327,1386274,1407953,1430365,1451209,1469160,1487494
Jamaica,JAM,"Population, total",SP.POP.TOTL,2586827,2611367,2634882,2656864,2677011,2695446,2712511,2728777,2744673,2760279,2775467,2790122,2804082,2817210,2829493,2840992,2851807,2862087,2871934,2881355
Japan,JPN,"Labor force, total",SL.TLF.TOTL.IN,67975693,68028984,67824596,67670786,67597243,67157152,67069090,66717970,66739866,66799943,67142641,67092189,66914551,66665453,65970611,65650470,65992810,66182686,66363239,66844279
Japan,JPN,"Population, total",SP.POP.TOTL,126057000,126400000,126631000,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,126994511
Jordan,JOR,"Labor force, total",SL.TLF.TOTL.IN,1225519,1250947,1274261,1298304,1325098,1344194,1359818,1403358,1454005,1507031,1630972,1701569,1827111,1894063,1969502,2038778,2096207,2198262,2293738,2378153
Jordan,JOR,"Population, total",SP.POP.TOTL,4832267,4927912,5014899,5103130,5193482,5287488,5396774,5535595,5714111,5934232,6193191,6489822,6821116,7182390,7574943,7992573,8413464,8809306,9159302,9455802
Kazakhstan,KAZ,"Labor force, total",SL.TLF.TOTL.IN,7789420,7699508,7660662,7655067,7673622,7710534,7758737,7802568,7947812,8080705,8226662,8382549,8573022,8719779,8806519,8887384,8961806,9050189,9109811,9172172
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,15333703,15071300,14928426,14883626,14858335,14858948,14909018,15012985,15147029,15308084,15484192,15674000,16092822,16321872,16557201,16792089,17035550,17288285,17542806,17794055
Kenya,KEN,"Labor force, total",SL.TLF.TOTL.IN,11270427,11616108,11978025,12215451,12395412,12592431,12791508,12972715,13128066,13569992,14024859,14500094,14984059,15473809,15983129,16512800,17055831,17609968,18171576,18748056
Kenya,KEN,"Population, total",SP.POP.TOTL,28954114,29769803,30600397,31450483,32321482,33214009,34130852,35074931,36048288,37052050,38085909,39148416,40237204,41350152,42486839,43646629,44826849,46024250,47236259,48461567
Kiribati,KIR,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kiribati,KIR,"Population, total",SP.POP.TOTL,80184,81550,82966,84406,85858,87343,88895,90542,92325,94260,96311,98440,100568,102652,104656,106613,108535,110458,112407,114395
"Korea, Dem. People’s Rep.",PRK,"Labor force, total",SL.TLF.TOTL.IN,13530939,13674257,13825385,13960793,14104117,14238153,14373927,14510004,14650699,14777298,14909304,15054538,15211174,15354155,15497179,15633588,15766563,15899672,16033929,16155974
"Korea, Dem. People’s Rep.",PRK,"Population, total",SP.POP.TOTL,22335638,22537336,22731985,22929075,23131810,23336681,23538540,23729498,23904167,24061097,24203289,24335146,24463021,24591599,24722298,24854034,24985976,25116363,25243917,25368620
"Korea, Rep.",KOR,"Labor force, total",SL.TLF.TOTL.IN,22335298,22027136,22326937,22810633,23183357,23642612,23660958,24112607,24281181,24519188,24774717,24923116,24923602,25262256,25660784,26054417,26381091,27108754,27432943,27719344
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,45953580,46286503,46616677,47008111,47370164,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51245707
Kosovo,XKX,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kosovo,XKX,"Population, total",SP.POP.TOTL,2086000,1966000,1762000,1700000,1701154,1702310,1703466,1704622,1705780,1719536,1733404,1747383,1761474,1775680,1791000,1805200,1824100,1821800,1801800,1816200
Kuwait,KWT,"Labor force, total",SL.TLF.TOTL.IN,813891,873726,935265,987617,1018375,1045140,1073514,1106829,1154659,1216232,1292607,1383946,1493248,1611890,1729663,1856503,1985038,2100763,2194085,2229107
Kuwait,KWT,"Population, total",SP.POP.TOTL,1715314,1836353,1957066,2050741,2109355,2143833,2169118,2207939,2276623,2377258,2503410,2652340,2818939,2998083,3191051,3395556,3598385,3782450,3935794,4052584
Kyrgyz Republic,KGZ,"Labor force, total",SL.TLF.TOTL.IN,1907781,1953118,2001039,2047512,2088892,2136710,2174817,2218820,2311434,2381386,2395736,2403708,2410072,2447362,2491924,2503062,2487005,2520862,2561561,2565487
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,4696400,4769000,4840400,4898400,4945100,4990700,5043300,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719600,5835500,5956900,6079500
Lao PDR,LAO,"Labor force, total",SL.TLF.TOTL.IN,2270127,2317673,2366394,2416220,2472119,2526620,2582373,2642575,2708413,2784788,2864848,2946681,3027656,3106200,3178153,3249142,3317721,3385901,3452821,3524301
Lao PDR,LAO,"Population, total",SP.POP.TOTL,5056519,5150763,5241284,5329304,5414568,5497273,5579656,5664605,5754026,5849356,5949787,6052190,6152036,6246274,6333487,6415169,6494557,6576397,6663967,6758353
Latin America & Caribbean,LCN,"Labor force, total",SL.TLF.TOTL.IN,207872276,213556079,218481776,223198210,228655461,234722105,239922630,247505846,253654658,260730560,265568487,270641498,276093416,279068892,282891952,288488768,292404785,296185877,301220481,305324102
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,501837820,509664957,517324344,524829251,532172709,539372044,546478662,553563090,560673962,567821716,574994397,582179826,589349327,596478519,603537118,610547919,617495658,624335544,631062657,637663890
Latin America & Caribbean (excluding high income),LAC,"Labor force, total",SL.TLF.TOTL.IN,181406334,186558227,191073043,195518450,200527701,206329940,210946626,217771972,223621810,230113214,234579372,239321706,244291294,246991429,249976350,255242855,258849821,262410561,267033379,270795182
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,439044994,446128863,453089523,459908706,466569961,473087978,479514487,485921455,492360617,498847473,505365856,511896377,518406797,524870761,531283625,537645733,543940758,550149862,556257851,562254848
Latvia,LVA,"Labor force, total",SL.TLF.TOTL.IN,1171893,1147245,1121000,1090112,1090875,1115201,1096875,1098381,1093769,1119655,1136064,1150616,1106702,1062906,1036403,1041714,1021228,1007309,1011063,1008672
Latvia,LVA,"Population, total",SP.POP.TOTL,2432851,2410019,2390482,2367550,2337170,2310173,2287955,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2012647,1993782,1977527,1959537
Least developed countries: UN classification,LDC,"Labor force, total",SL.TLF.TOTL.IN,239570678,246638769,253931623,261287905,268971822,276551676,284311086,292181432,300422049,308026755,315869016,323960967,332438566,341314932,350536721,360146233,370271884,380520689,391252404,402101911
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,616437048,632146821,648229112,664804763,681932226,699560739,717572892,735796583,754118072,772488966,790978141,809730997,828953320,848791962,869298106,890423474,912093996,934192321,956631108,979387925
Lebanon,LBN,"Labor force, total",SL.TLF.TOTL.IN,943592,958317,987021,1026740,1073013,1136138,1207228,1270451,1328018,1370840,1402776,1420377,1452057,1512726,1609331,1731672,1866383,1987964,2086580,2164392
Lebanon,LBN,"Population, total",SP.POP.TOTL,3092670,3113951,3156646,3235366,3359859,3522837,3701464,3863267,3986852,4057350,4086466,4111047,4183156,4337141,4588368,4916404,5276102,5603279,5851479,6006668
Lesotho,LSO,"Labor force, total",SL.TLF.TOTL.IN,783677,793846,803580,807781,811660,816296,821365,826360,831035,838305,844833,851224,858184,865986,874345,883647,893696,909529,926235,942650
Lesotho,LSO,"Population, total",SP.POP.TOTL,1810453,1831298,1850527,1868699,1885955,1902312,1918097,1933728,1949543,1965662,1982287,1999930,2019209,2040551,2064166,2089928,2117361,2145785,2174645,2203821
Liberia,LBR,"Labor force, total",SL.TLF.TOTL.IN,745294,803042,859081,903900,937422,960233,987897,1008647,1036581,1073418,1117608,1166724,1216047,1261702,1301265,1337437,1371357,1408295,1447262,1488158
Liberia,LBR,"Population, total",SP.POP.TOTL,2358469,2551062,2734518,2884522,2991132,3062863,3116233,3176414,3261230,3375838,3512932,3662993,3811528,3948125,4070167,4181563,4286291,4390737,4499621,4613823
Libya,LBY,"Labor force, total",SL.TLF.TOTL.IN,1623054,1673724,1727338,1786030,1843399,1904567,1976040,2043907,2116427,2178032,2238226,2291440,2334799,2375376,2328781,2372530,2346067,2325988,2332698,2363336
Libya,LBY,"Population, total",SP.POP.TOTL,5117269,5195502,5274163,5355751,5440566,5527515,5615952,5704759,5792688,5881435,5970362,6053078,6121053,6169140,6193501,6198258,6195970,6204108,6234955,6293253
Liechtenstein,LIE,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,31838,32355,32842,33286,33671,34018,34321,34596,34852,35095,35322,35541,35766,36003,36264,36545,36834,37127,37403,37666
Lithuania,LTU,"Labor force, total",SL.TLF.TOTL.IN,1724015,1710315,1712659,1682388,1643903,1625856,1683859,1594102,1553537,1511805,1511341,1512342,1522388,1503797,1495317,1484614,1473510,1481405,1470307,1481027
Lithuania,LTU,"Population, total",SP.POP.TOTL,3575137,3549331,3524238,3499536,3470818,3443067,3415213,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2987773,2957689,2932367,2904910,2868231
Low & middle income,LMY,"Labor force, total",SL.TLF.TOTL.IN,2104583965,2143168836,2187292281,2227926244,2267374354,2309989210,2352773721,2398620210,2444577360,2476223145,2506233934,2535222628,2564670038,2587443958,2618604848,2649859590,2686515902,2720322252,2755813726,2794039296
Low & middle income,LMY,"Population, total",SP.POP.TOTL,4785830332,4860402272,4933815918,5006672528,5078705169,5150230538,5221946114,5293853508,5366142729,5438568259,5511067338,5584333697,5658778430,5734082511,5810352625,5887499549,5965580605,6044110924,6122845409,6202019744
Low income,LIC,"Labor force, total",SL.TLF.TOTL.IN,172622026,177349701,182379231,187815146,193259115,198981147,204961397,211088642,217348137,223425199,229771381,236489351,243324294,250595888,257785629,265244574,273063471,280952097,289293551,297917374
Low income,LIC,"Population, total",SP.POP.TOTL,429730581,441325367,453254723,465631330,478477973,491764952,505488618,519630935,534172627,549135479,564514253,580229110,596172925,612274687,628504663,644901894,661550623,678572076,696058453,714022293
Lower middle income,LMC,"Labor force, total",SL.TLF.TOTL.IN,826064956,845675239,865781512,884804328,906449811,928209994,951432164,974300248,998641981,1011789715,1023833960,1035713394,1049089981,1059723109,1074566079,1088681029,1110464706,1130622751,1149386492,1172067741
